Fecha de Creación,País,Estado,Ciudad
2025-11-11,México,Tamaulipas,Nuevo Laredo
2025-11-26,México,Ciudad de México,Cuauhtémoc
2025-09-18,México,Baja California,Mexicali
2025-09-17,México,Sinaloa,Culiacán
2025-12-21,México,Estado de México,La Paz
2025-10-27,México,Hidalgo,Mineral De La Reforma
2025-11-06,México,Jalisco,La Huerta
2025-12-05,México,Sonora,Hermosillo
2025-11-01,México,Estado de México,Cuautitlán
2025-12-12,México,Quintana Roo,Othón P. Blanco
2025-09-03,México,Guanajuato,León De Los Aldama
2025-09-10,México,Estado de México,Otzolotepec
2025-10-08,México,Jalisco,Tlajomulco De Zúñiga
2025-11-03,México,Hidalgo,Tizayuca
2025-08-16,Estados Unidos,California,Los Angeles
2025-09-25,México,Nuevo León,Guadalupe
2025-09-28,Estados Unidos,Nueva York,Brooklyn
2025-12-01,México,Estado de México,Tequixquiac
2025-09-20,México,Jalisco,Ocotlán
2025-10-03,México,Sinaloa,Culiacán
2025-08-29,México,Ciudad de México,Azcapotzalco
2025-12-03,México,Estado de México,San Mateo Atenco
2025-10-14,México,Estado de México,Tultitlán
2025-10-07,México,Puebla,Puebla
2025-09-03,México,Aguascalientes,Aguascalientes
2025-09-04,México,Estado de México,Nezahualcóyotl
2025-12-05,México,Sonora,Caborca
2025-09-22,México,Guanajuato,León De Los Aldama
2025-09-15,México,Jalisco,Guadalajara
2025-12-19,México,Baja California,Ensenada
2025-12-26,México,Ciudad de México,Gustavo A. Madero
2025-11-19,México,Michoacán de Ocampo,Morelia
2025-11-12,México,Michoacán de Ocampo,Tingambato
2025-12-17,México,Guanajuato,León De Los Aldama
2025-12-02,México,Nuevo León,Monterrey
2025-08-30,México,Guerrero,Acapulco De Juárez
2025-12-09,México,Estado de México,San Mateo Atenco
2025-12-05,México,Colima,Manzanillo
2025-11-20,México,Michoacán de Ocampo,Tuxpan
2025-11-28,México,Veracruz de Ignacio de la Llave,Xalapa
2025-12-01,México,Guanajuato,León De Los Aldama
2025-11-19,México,Michoacán de Ocampo,Morelia
2025-09-11,México,Estado de México,Valle De Chalco Solidaridad
2025-11-19,México,Baja California,Playas De Rosarito
2025-12-31,México,Veracruz de Ignacio de la Llave,Xalapa
2025-09-21,México,Estado de México,Tecámac
2026-02-03,México,Coahuila De Zaragoza,Parras
2025-11-12,México,Oaxaca,Villa De Zaachila
2025-10-16,México,Tabasco,Centro
2026-02-11,México,Ciudad de México,Cuauhtémoc
2025-10-13,México,Durango,Durango
2025-11-23,México,Jalisco,Guadalajara
2025-08-20,México,Veracruz de Ignacio de la Llave,Córdoba
2025-11-18,México,Jalisco,Tototlán
2025-11-28,México,Jalisco,Tonalá
2025-08-14,México,Jalisco,Zapopan
2025-09-17,México,Michoacán de Ocampo,Zamora
2025-10-25,México,Oaxaca,Santa Lucía Del Camino
2025-11-18,México,Jalisco,Guadalajara
2025-09-24,Estados Unidos,Florida,Stuart
2025-12-03,México,Sonora,Guaymas
2025-11-25,México,Ciudad de México,Xochimilco
2025-11-19,México,Estado de México,Naucalpan De Juárez
2025-12-18,México,Estado de México,Nezahualcóyotl
2025-12-18,México,Jalisco,Tonalá
2025-10-13,México,Querétaro,Corregidora
2025-09-28,México,Jalisco,Guadalajara
2025-12-06,México,Baja California,Tijuana
2025-10-15,México,Ciudad de México,Cuauhtémoc
2025-11-28,México,Chiapas,Comitán De Domínguez
2026-01-03,México,Guanajuato,Celaya
2025-10-22,México,Querétaro,El Marqués
2025-08-31,Estados Unidos,Georgia,Duluth
2025-10-29,México,Michoacán de Ocampo,Tarímbaro
2025-11-01,México,Chiapas,Tapachula
2025-12-14,México,Ciudad de México,Coyoacán
2025-10-01,México,Sinaloa,Guasave
2025-10-11,México,Guanajuato,León De Los Aldama
2025-12-16,México,Oaxaca,San Bartolo Coyotepec
2025-12-11,México,Estado de México,Tultepec
2025-11-28,México,Baja California,Tijuana
2025-11-29,México,Durango,Durango
2025-11-04,México,Estado de México,Tlalnepantla De Baz
2025-10-02,México,Sinaloa,Guasave
2025-12-02,México,Veracruz de Ignacio de la Llave,Boca Del Río
2025-11-18,México,Durango,Durango
2025-08-19,México,Jalisco,Zapopan
2025-10-21,México,Quintana Roo,Benito Juárez
2025-10-11,México,Baja California,Tijuana
2025-11-03,México,Estado de México,Nezahualcóyotl
2025-09-21,Estados Unidos,Washington,Seattle
2025-08-16,México,Baja California,Tijuana
2025-10-20,México,Morelos,Cuernavaca
2025-11-18,México,Hidalgo,Tizayuca
2025-12-11,México,Guerrero,Chilpancingo De Los Bravo
2025-12-10,México,Jalisco,Tepatitlán De Morelos
2025-09-09,México,Michoacán de Ocampo,Tacámbaro
2025-12-09,México,Durango,Durango
2025-08-26,México,Estado de México,Chimalhuacán
2025-10-07,México,Ciudad de México,Tláhuac
2025-09-08,México,Jalisco,San Pedro Tlaquepaque
2025-08-21,México,Aguascalientes,Aguascalientes
2025-09-25,México,Hidalgo,Mineral De La Reforma
2025-10-14,México,Baja California,Mexicali
2025-12-02,México,Chihuahua,Chihuahua
2025-10-04,México,Baja California,Tijuana
2025-11-01,México,Estado de México,Nezahualcóyotl
2025-10-13,México,Durango,Durango
2025-10-10,México,Chihuahua,Buenaventura
2025-09-08,México,Estado de México,San Felipe Del Progreso
2025-09-09,México,Sinaloa,Culiacán
2025-11-29,México,Michoacán de Ocampo,Hidalgo
2025-09-29,México,Tlaxcala,Tlaxcala
2025-12-03,México,Nuevo León,Anáhuac
2025-11-29,México,Oaxaca,Villa De Tamazulápam Del Progreso
2025-08-14,México,Sinaloa,Mazatlán
2025-11-27,México,Jalisco,Tala
2025-12-15,México,Coahuila De Zaragoza,Monclova
2025-09-10,México,Estado de México,Juchitepec
2025-10-07,México,Veracruz de Ignacio de la Llave,Poza Rica De Hidalgo
2025-10-15,México,Hidalgo,Metepec
2025-08-23,México,Jalisco,Puerto Vallarta
2025-11-27,México,Jalisco,Tonalá
2025-11-19,México,Nuevo León,Apodaca
2025-09-13,México,Estado de México,Ixtlahuaca
2025-09-06,México,Chiapas,Tuxtla Gutiérrez
2025-10-02,México,Quintana Roo,Solidaridad
2025-12-17,México,Jalisco,Tlajomulco De Zúñiga
2025-11-28,México,Nuevo León,Monterrey
2025-12-15,México,Coahuila De Zaragoza,Torreón
2025-11-18,México,Oaxaca,Santa María Huatulco
2025-11-18,México,Michoacán de Ocampo,Morelia
2025-09-11,México,Coahuila De Zaragoza,Torreón
2025-12-02,México,Baja California,Tijuana
2025-08-15,México,Nayarit,Xalisco
2025-10-02,México,Jalisco,Zapopan
2025-11-08,México,Sinaloa,Rosario
2025-12-11,México,Guanajuato,Santa Cruz De Juventino Rosas
2025-10-09,México,Estado de México,Cuautitlán
2025-11-19,México,Baja California,Mexicali
2025-10-18,México,Guanajuato,León De Los Aldama
2025-08-26,México,Jalisco,Guadalajara
2025-09-08,México,Jalisco,El Salto
2025-11-22,México,Baja California,Tijuana
2025-11-20,México,Ciudad de México,Iztacalco
2025-08-12,México,Nayarit,Tepic
2025-11-19,México,Sonora,Cajeme
2025-10-08,México,Jalisco,Zapopan
2025-11-05,México,Chihuahua,Juárez
2025-12-09,México,Chiapas,Tuxtla Gutiérrez
2025-09-30,Estados Unidos,California,San Fernando
2025-08-27,México,Guanajuato,León De Los Aldama
2025-09-06,México,Guanajuato,Villagrán
2025-11-18,México,Baja California,Tijuana
2025-11-12,México,Michoacán de Ocampo,Tingambato
2025-08-28,México,Baja California,Tijuana
2025-12-09,México,Veracruz de Ignacio de la Llave,Río Blanco
2025-12-23,México,Guanajuato,Salamanca
2025-11-18,México,Jalisco,Guadalajara
2025-08-20,México,Michoacán de Ocampo,Tangancícuaro
2026-02-14,México,Nuevo León,Allende
2025-09-30,Estados Unidos,Texas,Midland
2025-10-18,México,Michoacán de Ocampo,Tuxpan
2025-10-09,México,Puebla,Puebla
2025-10-13,México,Durango,Durango
2025-12-20,México,Coahuila De Zaragoza,Saltillo
2025-09-25,Estados Unidos,Washington,Seattle
2025-12-12,México,Jalisco,San Pedro Tlaquepaque
2025-12-09,México,Ciudad de México,Coyoacán
2025-08-16,México,Estado de México,Nezahualcóyotl
2025-12-20,México,Coahuila De Zaragoza,Saltillo
2025-12-17,México,Querétaro,Corregidora
2025-09-27,México,Michoacán de Ocampo,Zamora
2025-09-15,México,Baja California,Tijuana
2025-09-28,México,Durango,Durango
2025-08-15,México,Estado de México,Ixtapan De La Sal
2025-10-07,México,Morelos,Yautepec
2025-11-20,México,Estado de México,Naucalpan De Juárez
2025-09-24,México,Sinaloa,Ahome
2025-08-27,México,Guerrero,Chilapa De Álvarez
2025-10-01,México,Jalisco,San Pedro Tlaquepaque
2025-11-12,México,Michoacán de Ocampo,Puruándiro
2025-08-20,México,Ciudad de México,Azcapotzalco
2025-11-20,México,Nayarit,Bahía De Banderas
2025-08-18,México,Baja California,Tijuana
2025-12-11,México,Baja California,Playas De Rosarito
2025-12-19,México,Puebla,Acatzingo
2025-09-13,México,Nuevo León,Apodaca
2025-12-13,México,Estado de México,Cuautitlán
2025-10-15,México,Jalisco,San Pedro Tlaquepaque
2025-12-14,México,Jalisco,Guadalajara
2025-11-03,México,Querétaro,Querétaro
2025-09-30,México,Guanajuato,León De Los Aldama
2025-12-30,México,Puebla,Puebla
2025-10-01,México,Jalisco,Zapotlanejo
2026-02-10,México,Baja California,Ensenada
2025-12-17,México,San Luis Potosí,Matehuala
2025-11-12,México,Baja California,Mexicali
2025-09-23,México,Baja California,Tijuana
2025-12-02,México,Guanajuato,Jaral Del Progreso
2025-12-18,México,Jalisco,Degollado
2025-09-23,México,Puebla,Puebla
2025-11-18,México,Chihuahua,Juárez
2025-12-26,México,Estado de México,Valle De Chalco Solidaridad
2025-11-06,México,Estado de México,La Paz
2025-11-18,México,Sinaloa,Mazatlán
2025-10-09,México,Estado de México,Ocoyoacac
2025-10-21,México,Jalisco,Zapopan
2025-11-12,México,Estado de México,Ocoyoacac
2025-11-22,México,Nayarit,Compostela
2025-11-23,México,Guerrero,Chilpancingo De Los Bravo
2025-12-23,México,Ciudad de México,Gustavo A. Madero
2025-09-12,México,Estado de México,Chicoloapan
2025-11-06,México,Nuevo León,Monterrey
2025-11-12,México,Michoacán de Ocampo,Tancítaro
2025-12-04,México,Ciudad de México,Iztapalapa
2025-11-19,México,Durango,Durango
2025-12-15,México,Ciudad de México,Benito Juárez
2025-11-21,México,Guanajuato,Dolores Hidalgo Cuna De La Independencia Nacional
2025-12-16,México,Jalisco,Amatitán
2025-10-01,Estados Unidos,Illinois,Hampshire
2025-11-28,México,Zacatecas,General Enrique Estrada
2025-09-08,México,Morelos,Cuautla
2025-08-22,México,Estado de México,Ecatepec De Morelos
2025-10-14,Estados Unidos,Texas,Waller
2025-10-17,Estados Unidos,Illinois,Skokie
2025-10-21,Estados Unidos,Georgia,Lawrenceville
2025-10-22,Estados Unidos,Michigan,Oakland
2025-10-24,Estados Unidos,California,Yuba City
2025-10-27,Estados Unidos,Texas,Crowley
2025-10-27,Estados Unidos,Texas,Garland
2025-10-27,Estados Unidos,Washington,Federal Way
2025-10-27,Estados Unidos,Ohio,Columbus
2025-10-21,Estados Unidos,Texas,Cypress
2025-10-29,Estados Unidos,Virginia,Virginia Beach
2025-10-31,Estados Unidos,Illinois,Northlake
2025-11-03,Estados Unidos,Texas,Denton
2025-11-03,Estados Unidos,Utah,Salt Lake City
2025-11-07,Estados Unidos,Texas,Kerrville
2025-11-07,Estados Unidos,California,Riverside
2025-11-10,Estados Unidos,Wisconsin,Sheboygan
2025-11-10,Estados Unidos,Texas,Fort Worth
2025-11-11,Estados Unidos,Utah,Layton
2025-11-11,Estados Unidos,California,Bloomington
2025-11-11,Estados Unidos,California,Santa Ana
2025-11-11,Estados Unidos,Maryland,Laurel
2025-11-11,Estados Unidos,Illinois,Addison
2025-11-11,Estados Unidos,Illinois,Addison
2025-11-15,Estados Unidos,Kentucky,Paducah
2025-11-19,Estados Unidos,Nueva York,Bronx
2025-11-20,Estados Unidos,Pensilvania,Hazleton
2025-11-20,Estados Unidos,California,Arleta
2025-11-20,Estados Unidos,Washington,Seattle
2025-11-26,Estados Unidos,Nueva York,Bronx
2025-11-24,Estados Unidos,Nueva York,Brooklyn
2025-11-21,Estados Unidos,Nueva Jersey,Bloomfield
2025-11-28,Estados Unidos,Georgia,Mc Donough
2025-12-01,Estados Unidos,Virginia,Richmond
2025-12-02,Estados Unidos,California,Tustin
2025-12-02,Estados Unidos,California,Los Angeles
2025-12-10,Estados Unidos,Texas,Elmendorf
2025-12-10,Estados Unidos,Alabama,Pelham
2025-12-08,Estados Unidos,Missouri,Columbia
2025-12-05,Estados Unidos,Illinois,Bolingbrook
2025-12-15,Estados Unidos,Georgia,Atlanta
2025-12-15,Estados Unidos,Wyoming,Gillette
2025-12-15,Estados Unidos,California,Buena Park
2025-12-18,México,Jalisco,Degollado
2025-12-17,Estados Unidos,California,Union City
2025-12-17,Estados Unidos,Washington,Burien
2025-12-17,Estados Unidos,Texas,Rockwall
2025-12-18,Estados Unidos,Texas,Houston
2025-12-19,Estados Unidos,Colorado,Greeley
2025-12-19,Estados Unidos,California,Escondido
2025-12-22,Estados Unidos,Illinois,Elgin
2025-12-23,Estados Unidos,Nebraska,Bellevue
2025-12-29,Estados Unidos,Washington,Seattle
2026-01-07,México,Estado de México,Tequixquiac
2026-01-07,México,Guanajuato,Leon
2026-01-05,México,Nuevo León,Guadalupe
2026-01-07,México,Ciudad de México,Azcapotzalco
2026-01-09,Estados Unidos,Illinois,Skokie
2026-01-09,México,Hidalgo,Tizayuca
2026-01-13,México,Baja California,Tijuana
2026-01-14,México,Estado de México,Valle De Bravo
2026-01-12,México,Jalisco,Zapopan
2026-01-14,México,Michoacán de Ocampo,Morelia
2026-01-14,México,Sinaloa,Culiacan
2026-01-08,México,Guerrero,Iguala De La Independencia
2026-01-13,México,Chihuahua,Chihuahua
2026-01-13,México,Veracruz de Ignacio de la Llave,Amatlan De Los Reyes
2026-01-19,Estados Unidos,Kentucky,Florence
2026-01-22,Estados Unidos,Montana,Great Falls
2026-02-03,México,Baja California,Tijuana
2026-01-28,México,Nuevo León,Guadalupe
2026-01-23,Estados Unidos,Maryland,New Carrollton
2026-01-26,México,Colima,Manzanillo
2026-01-23,México,Jalisco,Poncitlan
2026-01-27,México,Baja California,Playas De Rosarito
2026-01-27,México,Baja California,Tijuana
2026-01-20,México,Estado de México,Valle De Chalco Solidaridad
2026-01-20,México,San Luis Potosí,San Luis Potosi
2026-01-21,México,Colima,Manzanillo
2026-01-21,México,Yucatán,Merida
2026-01-21,México,Nuevo León,Guadalupe
2026-01-20,México,Chiapas,Comitan De Dominguez
2026-01-20,México,Estado de México,Ecatepec De Morelos
2026-01-19,México,Tamaulipas,Matamoros
2026-01-19,México,Guanajuato,Celaya
2026-01-19,México,Nuevo León,Monterrey
2026-01-27,México,Puebla,Puebla
2026-02-03,México,Jalisco,Zapopan
